2020-12-09 22:12:236 INFO  BasePage :29 - Launching Chrome Browser
2020-12-09 22:12:889 INFO  BankManagerLoginPage :31 - Clicks on Managers Login Button [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-12-09 22:12:162 INFO  AddCustomerPage :34 - Clicks on Add Customer Button [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //div[@class='center']//button[@ng-class='btnClass1']]
2020-12-09 22:12:427 INFO  AddCustomerPage :41 - Click on Add First Name Field [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //div[@class='form-group']//input[@placeholder='First Name']]
2020-12-09 22:12:545 INFO  AddCustomerPage :49 - Sends text to LastName Field [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //div[@class='form-group']//input[@placeholder='Last Name']]
2020-12-09 22:12:684 INFO  AddCustomerPage :57 - Send text to PostCode Field [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //div[@class='form-group']//input[@placeholder='Post Code']]
2020-12-09 22:12:780 INFO  AddCustomerPage :65 - Clicks on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (41b3f5f68d28d54a5fccc09cb0d6b136)] -> xpath: //button[@type='submit']]
2020-12-09 22:12:464 INFO  BasePage :29 - Launching Chrome Browser
2020-12-09 22:12:11 INFO  BankManagerLoginPage :31 - Clicks on Managers Login Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-12-09 22:12:242 INFO  AddCustomerPage :34 - Clicks on Add Customer Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //div[@class='center']//button[@ng-class='btnClass1']]
2020-12-09 22:12:463 INFO  AddCustomerPage :41 - Click on Add First Name Field [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //div[@class='form-group']//input[@placeholder='First Name']]
2020-12-09 22:12:566 INFO  AddCustomerPage :49 - Sends text to LastName Field [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //div[@class='form-group']//input[@placeholder='Last Name']]
2020-12-09 22:12:659 INFO  AddCustomerPage :57 - Send text to PostCode Field [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //div[@class='form-group']//input[@placeholder='Post Code']]
2020-12-09 22:12:748 INFO  AddCustomerPage :65 - Clicks on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //button[@type='submit']]
2020-12-09 22:12:814 INFO  HomePage :32 - Clicks on Home Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //button[contains(text(),'Home')]]
2020-12-09 22:12:881 INFO  HomePage :40 - Click on Bank Manager Login Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]<br>
2020-12-09 22:12:932 INFO  OpenAccountPage :30 - Clicks on Open Account Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //div[@class='center']//button[@ng-class='btnClass2']]
2020-12-09 22:12:160 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:360 INFO  OpenAccountPage :45 - Selects Currency Drop Down
2020-12-09 22:12:492 INFO  OpenAccountPage :52 - Clicks on Process Button [[ChromeDriver: chrome on WINDOWS (a9be3656cc723bdcacaec068b418eee0)] -> xpath: //button[contains(text(),'Process')]]
2020-12-09 22:12:168 INFO  BasePage :29 - Launching Chrome Browser
2020-12-09 22:12:752 INFO  BankManagerLoginPage :31 - Clicks on Managers Login Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-12-09 22:12:949 INFO  AddCustomerPage :34 - Clicks on Add Customer Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //div[@class='center']//button[@ng-class='btnClass1']]
2020-12-09 22:12:170 INFO  AddCustomerPage :41 - Click on Add First Name Field [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //div[@class='form-group']//input[@placeholder='First Name']]
2020-12-09 22:12:280 INFO  AddCustomerPage :49 - Sends text to LastName Field [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //div[@class='form-group']//input[@placeholder='Last Name']]
2020-12-09 22:12:375 INFO  AddCustomerPage :57 - Send text to PostCode Field [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //div[@class='form-group']//input[@placeholder='Post Code']]
2020-12-09 22:12:473 INFO  AddCustomerPage :65 - Clicks on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //button[@type='submit']]
2020-12-09 22:12:578 INFO  HomePage :26 - Click on Customer Login Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-12-09 22:12:803 INFO  OpenAccountPage :37 - Selects Customer Name from Drop Down [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //select[@id='userSelect']]
2020-12-09 22:12:222 INFO  CustomersPage :53 - Verification of Logout Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //button[contains(text(),'Logout')]]
2020-12-09 22:12:234 INFO  CustomersPage :63 - Verifying Message name [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //label[contains(text(),'Your Name :')]]
2020-12-09 22:12:272 INFO  CustomersPage :58 - Verification of Logout Button [[ChromeDriver: chrome on WINDOWS (5649fe85584bff08170c90bd15fb0642)] -> xpath: //button[contains(text(),'Home')]]
2020-12-09 22:12:904 INFO  BasePage :29 - Launching Chrome Browser
2020-12-09 22:12:767 INFO  BankManagerLoginPage :31 - Clicks on Managers Login Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-12-09 22:12:11 INFO  AddCustomerPage :34 - Clicks on Add Customer Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //div[@class='center']//button[@ng-class='btnClass1']]
2020-12-09 22:12:230 INFO  AddCustomerPage :41 - Click on Add First Name Field [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //div[@class='form-group']//input[@placeholder='First Name']]
2020-12-09 22:12:327 INFO  AddCustomerPage :49 - Sends text to LastName Field [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //div[@class='form-group']//input[@placeholder='Last Name']]
2020-12-09 22:12:410 INFO  AddCustomerPage :57 - Send text to PostCode Field [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //div[@class='form-group']//input[@placeholder='Post Code']]
2020-12-09 22:12:505 INFO  AddCustomerPage :65 - Clicks on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[@type='submit']]
2020-12-09 22:12:560 INFO  HomePage :32 - Clicks on Home Button [[ChromeDriver: chrome on WINDOWS (ed8151380cd1f4bf644594bebb468e51)] -> xpath: //button[contains(text(),'Home')]]
